用户昵称,评级,评论时间,评论内容（短评）,具体评论链接,点赞数,点踩数,回复数
沈十六,推荐,2020-10-03 16:46:01,跟遭遇中年危机一战白头的大叔相比，估计彩蛋里擅长厨艺，有强迫症，略带紧绷感的姜子牙更讨观众喜欢。 但正片里反叛、落魄的姜太公才是我们要看的，看他如何坚信自己，如何面对选择，如何跟顶头上司（元始天尊）抗争。 说到底，《姜子牙》不像《哪吒之魔童降世》那样老少咸宜...,https://movie.douban.com/review/12890709/,19,2,4
大生,推荐,2020-10-24 20:10:02,看了姜子牙，比预期的好很多，感觉没有大家说的那么不堪。 当然，片子有两个硬伤：一个是预设的逻辑基础还是弱了点，导致很多问题交代不清，人物行动理由不充分，故而后面的故事也显得弱了点；一个是道理“喊”出来的多，“表现”出来的少。 但是整体很不错了。 小粉红如果看懂...,https://movie.douban.com/review/12932893/,16,1,8
Likekids,还行,2020-10-01 22:30:58,悟空变身后国漫崛起了吗？ 哪吒变身后国漫崛起了吗？ 姜子牙也要变身耶稣为了国漫崛起？ 下一部二郎神三只眼变身六只眼人脸加特林？ 现在不变个身都不好意思吹国漫崛起了， 但是就算你变十个身国漫也崛起不了啊。 所以当我们在说国漫崛起的时候我们在说什么？ 画面，特效，五毛...,https://movie.douban.com/review/12886808/,47,3,13
看电影看到死,还行,2020-10-07 17:54:59,2019年，《哪吒之魔童降世》的成功，似乎再次向国内市场发出一个讯号，观众们曾经对动画电影的偏见已然逐渐消散，转而拥有着巨大的潜力和商机。因此，作为“彩条屋中国神话系列”的下一部作品，一直都被大家寄予厚望。 参照漫威和DC构建电影宇宙的野心，纵观中华文化上下五千年...,https://movie.douban.com/review/12898956/,9,1,2
十五斤,很差,2020-10-05 16:17:40,剧情梗概： 东光太郎队员为了保护百里玄策，不断用排比句强行上价值的同时大战漩涡鸣人，最终成功变身泰罗奥特曼，将十二怒汉和断头台狂魔路易十六打回光之国。 槽点： 1.动不动喊口号，动不动开始正义。姜子牙的台词让他看起来就像是一个网络小说看多，得了中二病的初中生。 2...,https://movie.douban.com/review/12895062/,11,,5
影探,还行,2020-10-03 18:03:58,首发于公众号“影探” 公号ID：ttyingtan 作者：booka 转载请注明出处 10月1日00:00，票房突破1亿，成为今年国庆档第一部破亿电影。 10月1日12:00，票房突破2亿，打破《哪吒之魔童降世》首日1.44亿的票房纪录，成为内地第一部首日票房破2亿的动画影片。 10月2日17:30，票房突破...,https://movie.douban.com/review/12890853/,15,1,7
王俊俊,较差,2020-10-01 23:09:05,幼稚，青涩，空洞，虚浮，无叙事技巧，无节奏。 作为反叛型文本，看不见任何对底层的刻画和描述，全是自我感动的虚假的套路化的方程式。甚至连润滑的铺垫都没有。 作为比姜子牙更有符号化意义的阿九，选择了虚浮的人物刻画，幼稚化的处理和台词，导致最终结果一塌糊涂，纸片人...,https://movie.douban.com/review/12886950/,149,35,65
大聪看电影,推荐,2020-10-06 21:25:09,《姜子牙》我有想到会有不少争议，但没想到会有这么撕裂和两极。 影片一出，我还是低估了。 我总结了一下，大概是三个主要方向，那种为了喷而喷的就不算进来了，第一个是《姜子牙》对比《哪吒》不行，第二是剧情太次，第三是宣发误导性宣传。 我大概看了下这些评论，真的是把《...,https://movie.douban.com/review/12897681/,46,3,9
gtsky,力荐,2020-10-04 08:45:12,昨天晚上打卡《姜子牙》，直觉这就是中国动画电影的真正“成人之作”，这里两个意思： 一是该片彻底摆脱低幼，直接将全民作为观影的潜在群体进行创作。作为动画电影，直接把八岁以下儿童排除在外（八岁儿子一同观影竟然看懂了），这在中国绝对是一大冒险之举，这充分表明创作团...,https://movie.douban.com/review/12892105/,27,3,2
新京报书评周刊,,2020-10-03 13:06:38,原本今年春节档就该上映的《姜子牙》终于在国庆之际姗姗来迟。由于《哪吒：魔童降世》在去年取得的巨大成功，这部被认为同样取材古典神怪小说《封神演义》的国产动画大片也饱受观众的期待——首日上映票房破2亿便是一个证明。 不过，票房高并不能证明电影的成功，很多观众都抱...,https://movie.douban.com/review/12890411/,37,1,6
